"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","arch_p_lag4","arch_p_lag5","arch_p_lag6","arch_p_lag7","jb_p","dm_p_1","dm_p_2"
"49","2011-02-18/2011-02-19","2011-02-20","ARIMA(1,1,4)",0.00386503173340908,0.00396397869300908,0.0030143551875422,0.00311832338343135,0.999990889282571,0.999994239509848,0.999998789572116,0.997237275453054,4.04983659423319e-05,2.04574060516105e-05,5.10555828141523e-05,0.000114742333087947,4.1115999493968e-12,1.68827830155946e-05,0.0001369647245825
"50","2011-02-19/2011-02-20","2011-02-21","ARIMA(1,0,0) with zero mean",0.00336147625877888,0.00343498741803788,0.00264177390786359,0.00268950370549355,0.786859414323912,0.862804493903129,0.926889637515159,0.943959838733226,0.019511093381443,0.0269890702005132,0.0279280798716589,0.0451659790558658,9.48396709765653e-06,0.00436449968695845,0.000116086912322725
"51","2011-02-20/2011-02-21","2011-02-22","ARIMA(1,1,3) with drift",0.00332734470577332,0.00343874485413468,0.00263172944659429,0.00272442927071089,0.984618797929328,0.995635365598132,0.86876120862421,0.457061155479532,0.000205256930532416,0.000535571535532742,0.00117737672306217,0.00223203777055969,1.59240398645011e-11,9.64333169049299e-06,4.40890217325799e-07
"52","2011-02-21/2011-02-22","2011-02-23","ARIMA(2,1,3)",0.00335129166592701,0.00343125204265837,0.00262564994469065,0.00270040982381537,0.994982037264011,0.999032399147246,0.642359447987561,0.620600794623797,0.16798051957403,0.26172421444536,0.352648544422171,0.374657502789684,0.0115281444946068,0.000649191592112862,0.000720809848448572
"53","2011-02-22/2011-02-23","2011-02-24","ARIMA(2,1,2)",0.00319482479143491,0.00332724734007849,0.00250695049723417,0.00261554815827763,0.64032632060512,0.754674120988504,0.53354533274479,0.507882654172506,0.479916387640616,0.566015869702595,0.534864503731867,0.639523751320827,0.00482623121294956,3.45920550351166e-07,2.73669558412876e-08
"54","2011-02-23/2011-02-24","2011-02-25","ARIMA(3,1,2)",0.00316822417524812,0.00327828089415831,0.00246458367392095,0.0025564185377503,0.672361541313995,0.765527517902501,0.692238826432262,0.550554951432468,0.000677263463496947,0.00138061513450294,0.00175367260520387,0.0033116180593491,1.17177348935016e-07,2.47921327583554e-05,4.25349848738273e-06
"55","2011-02-24/2011-02-25","2011-02-26","ARIMA(2,1,3)",0.00359747535819331,0.00360032357022409,0.00287066164249274,0.00290018470542708,0.83614568409886,0.918737489818439,0.949972638565127,0.940015288979903,0.00238870923484102,0.00509218001395195,0.00973315246714923,0.0173550992815457,4.55191440096314e-15,0.125201309999312,0.459546461987218
"56","2011-02-25/2011-02-26","2011-02-27","ARIMA(3,1,1)",0.00376046479411575,0.00380256667039867,0.0029878447829331,0.00304272100174624,0.996925564309477,0.413356603794665,0.480083719644215,0.384280132983675,0.183503115685754,0.204196672926822,0.240744658785671,0.0938228149920496,0.000141301619300371,0.00239709195887396,0.0255213138547456
"57","2011-02-26/2011-02-27","2011-02-28","ARIMA(1,0,0) with zero mean",0.00347783927078048,0.00355536845237489,0.00274299824831816,0.00282408368467417,0.99977248138191,0.414929500288023,0.35173788543778,0.420049681986765,0.0319226154732836,0.0603342333314411,0.102154509445454,0.127974528168865,0.00390814742704515,4.01864860038672e-09,1.59106717715808e-07
"58","2011-02-27/2011-02-28","2011-03-01","ARIMA(0,1,2)",0.00337481297761734,0.00351121331293205,0.00268110669491067,0.00280265005228587,0.579884310518108,0.615625545478633,0.714387950161878,0.552190344226762,0.000297615746062796,0.000573844429717418,0.00117780323797678,0.00232138358591905,9.78406161644685e-08,9.36053050895968e-10,5.20969275768274e-11
