"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"42","2011-02-11/2011-02-14","2011-02-15","ARIMA(1,0,0) with zero mean",0.00353963065803325,0.00361111894019637,0.00278065920342451,0.00283266289753251,0.91105221455951,0.883509189156843,0.935513681323084,0.467248240169243,0,0.00498251375869443,0.000758990860416216
"43","2011-02-12/2011-02-15","2011-02-16","ARIMA(1,0,1) with zero mean",0.00364556338829265,0.00373084424938101,0.00284205885660744,0.00289840188379255,0.987365116851192,0.909905350632011,0.957640905110898,0.808366015226225,0,0.00289310348424919,5.73827512800965e-05
"44","2011-02-13/2011-02-16","2011-02-17","ARIMA(2,1,2)",0.00350282837279016,0.0036155156907893,0.00276765677457484,0.00283281884001947,0.760819372634475,0.700452342270304,0.767740856840401,0.812950729496639,5.88418203051333e-15,0.00512017569861874,9.84531925819545e-06
"45","2011-02-14/2011-02-17","2011-02-18","ARIMA(2,1,2)",0.00333373469000832,0.00347089112584126,0.00257614784833936,0.00268210945135675,0.383156849369376,0.524662681522351,0.638621324850268,0.703533319285174,6.23945339839338e-14,5.3980471075504e-06,3.26613415080408e-08
"46","2011-02-15/2011-02-18","2011-02-19","ARIMA(2,1,2) with drift",0.00391853415677467,0.00398300765512305,0.00308038880243454,0.00316791840273132,0.791985216592111,0.884395972121398,0.941422413663254,0.818933640294981,3.05089287166993e-13,0.000531977614829469,0.0136742467595187
"47","2011-02-16/2011-02-19","2011-02-20","ARIMA(3,1,2)",0.00386523969289741,0.00396397869300908,0.00300593232226452,0.00311832338343135,0.644379625999652,0.776252530031759,0.855723823354716,0.878297848490979,0,5.15962020881079e-06,0.000174853557373073
"48","2011-02-17/2011-02-20","2011-02-21","ARIMA(1,0,0) with zero mean",0.0033614995237661,0.00343498741803788,0.00264180411950927,0.00268950370549355,0.896345369578454,0.954093197696784,0.874159525453275,0.864073007904387,0,0.00457607410032478,0.000126201868467091
"49","2011-02-18/2011-02-21","2011-02-22","ARIMA(1,0,0) with zero mean",0.00336676856133438,0.00343874485413468,0.00265926184315374,0.00272442927071089,0.924109919822128,0.946811079562252,0.927622845756596,0.963339814723997,1.11022302462516e-16,0.000193548274833598,0.000113041694899148
"50","2011-02-19/2011-02-22","2011-02-23","ARIMA(1,0,0) with zero mean",0.00336026170149213,0.00343125204265837,0.00264150624595593,0.00270040982381537,0.7091617038732,0.819553113331851,0.875939593743121,0.907693089683632,1.85323867363252e-10,0.000529509506819088,8.56447601058687e-05
"51","2011-02-20/2011-02-23","2011-02-24","ARIMA(2,1,3)",0.00319674671085576,0.00332724734007849,0.00250699293888553,0.00261554815827763,0.977811127285458,0.991740408108745,0.228689154968209,0.0783038853454479,1.70974345792274e-14,2.03622361770562e-07,2.24209332883579e-08
"52","2011-02-21/2011-02-24","2011-02-25","ARIMA(2,1,3)",0.00317557315784415,0.00327828089415831,0.00246743671430861,0.0025564185377503,0.888505286761735,0.902698580312953,0.138443638453497,0.0752777154139969,4.37262870356392e-09,1.96108148534016e-05,7.64813926821107e-06
"53","2011-02-22/2011-02-25","2011-02-26","ARIMA(2,1,2)",0.003593621604927,0.00360032357022409,0.00286987202729288,0.00290018470542708,0.573254922876979,0.611382537291819,0.42047210139015,0.270536913818096,5.83311177138057e-13,0.105001285844508,0.399307991739989
"54","2011-02-23/2011-02-26","2011-02-27","ARIMA(2,1,3)",0.00375893454887931,0.00380256667039867,0.00298013114984498,0.00304272100174624,0.879276961742424,0.506989861156313,0.625267707853722,0.734346551171843,1.34964261988557e-11,0.00225969048220365,0.0381674893285183
"55","2011-02-24/2011-02-27","2011-02-28","ARIMA(1,0,0) with zero mean",0.0034721163034199,0.00355536845237489,0.00273434884369629,0.00282408368467417,0.986969191910789,0.765179582568393,0.560447479657611,0.595673314288066,5.56299450948927e-12,9.3093786574613e-08,3.85886296376549e-06
"56","2011-02-25/2011-02-28","2011-03-01","ARIMA(1,0,0) with zero mean",0.00340971271261234,0.00351121331293205,0.00272784204402703,0.00280265005228587,0.999796717978763,0.983169628178293,0.844157934234514,0.811073846612775,3.13441383958946e-09,2.71489174818935e-06,2.49893898858345e-09
"57","2011-02-26/2011-03-01","2011-03-02","ARIMA(1,0,0) with zero mean",0.0034031443243199,0.00350233152928876,0.00271408937202609,0.00277836713970922,0.878971571338448,0.938750642631985,0.807929015999193,0.700910376678797,2.4497903553522e-06,8.53509890664741e-05,2.77506835974712e-08
"58","2011-02-27/2011-03-02","2011-03-03","ARIMA(1,0,2) with zero mean",0.00352777718413242,0.0036230533833999,0.00277354187871857,0.00285506302992184,0.995226481775336,0.953675411510976,0.944646471435465,0.957326423122877,3.05249821319631e-06,1.44277438600311e-05,9.42625497882597e-06
"59","2011-02-28/2011-03-03","2011-03-04","ARIMA(1,0,2) with zero mean",0.00343232620845594,0.00359306186852174,0.00272891592250722,0.00287314274829354,0.24189311108278,0.297511995845058,0.0985985502954763,0.0790729883665119,1.06734456293278e-05,1.09886591230196e-10,1.84790959660134e-10
"60","2011-03-01/2011-03-04","2011-03-05","ARIMA(2,1,2)",0.00378833532104168,0.00386040973829179,0.00297223339443949,0.00305613771025908,0.72292193993465,0.83913143224061,0.738658477190549,0.801880675113235,0.000230561403884444,0.00187981148996128,0.0130000480748827
"61","2011-03-02/2011-03-05","2011-03-06","ARIMA(2,1,2)",0.00397449395092947,0.00408351622897114,0.00313692334921286,0.00324855792608822,0.902417672425371,0.946651317238983,0.69590481713965,0.795725487937518,2.69943945996332e-06,2.37750321439062e-05,6.13149114754038e-05
"62","2011-03-03/2011-03-06","2011-03-07","ARIMA(0,0,2) with zero mean",0.00346421326942051,0.00358340640161258,0.00269553437837585,0.00279255169595925,0.855181109373675,0.913142571592991,0.946355356523154,0.952452095600863,5.65168756239132e-09,1.28297900742707e-06,9.63298472454635e-08
"63","2011-03-04/2011-03-07","2011-03-08","ARIMA(0,0,2) with zero mean",0.00349162257747767,0.00356569463109276,0.00274257508547714,0.00280472601590487,0.726246413891168,0.824282224831839,0.879518921103467,0.762470066509275,7.51552163835711e-08,0.00201087749891181,0.000555026044861974
